,doc_key,Lead Time,Cycle Time,Epic Link
181,SOL-689,11.0,7,SOL-684
182,SOL-688,14.0,0,SOL-684
183,SOL-681,42.0,0,SOL-684
184,SOL-680,14.0,4,SOL-684
185,SOL-679,19.0,18,SOL-684
186,SOL-678,18.0,7,SOL-684
187,SOL-672,22.0,0,SOL-684
188,SOL-670,85.0,19,SOL-684
189,SOL-667,47.0,27,SOL-684
190,SOL-665,94.0,17,SOL-684
191,SOL-662,21.0,21,SOL-684
192,SOL-659,104.0,19,SOL-684
193,SOL-649,37.0,0,SOL-684
194,SOL-645,38.0,0,SOL-684
195,SOL-643,43.0,30,SOL-684
196,SOL-642,43.0,30,SOL-684
197,SOL-638,44.0,0,SOL-684
198,SOL-632,49.0,0,SOL-684
199,SOL-617,832.0,6,SOL-669
200,SOL-614,101.0,0,SOL-685
201,SOL-606,93.0,0,SOL-684
202,SOL-605,93.0,30,SOL-687
203,SOL-602,99.0,0,SOL-684
204,SOL-592,112.0,30,SOL-684
205,SOL-515,191.0,0,SOL-685
206,SOL-504,258.0,1,SOL-684
207,SOL-431,294.0,0,SOL-687
