,doc_key,Points,Lead Time,Cycle Time
167,SOL-1644,5.0,24.0,4
168,SOL-1640,13.0,33.0,8
169,SOL-1626,5.0,63.0,8
170,SOL-1625,5.0,59.0,8
171,SOL-1622,21.0,41.0,2
172,SOL-1621,8.0,42.0,1
173,SOL-1614,8.0,152.0,0
174,SOL-1613,13.0,152.0,0
175,SOL-1612,8.0,137.0,1
176,SOL-1611,8.0,137.0,1
177,SOL-1610,8.0,137.0,1
178,SOL-1609,13.0,137.0,1
179,SOL-1607,13.0,54.0,6
180,SOL-1606,8.0,309.0,1
181,SOL-1605,8.0,309.0,1
182,SOL-1604,13.0,309.0,0
183,SOL-1603,8.0,309.0,5
184,SOL-1602,20.0,309.0,2
185,SOL-1600,8.0,127.0,11
186,SOL-1599,5.0,121.0,3
187,SOL-1598,8.0,122.0,0
188,SOL-1597,3.0,112.0,0
189,SOL-1596,13.0,115.0,4
190,SOL-1595,13.0,126.0,1
191,SOL-1594,20.0,98.0,1
192,SOL-1593,8.0,98.0,1
193,SOL-1592,8.0,91.0,1
194,SOL-1591,13.0,105.0,7
195,SOL-1590,5.0,128.0,8
196,SOL-1583,8.0,85.0,0
197,SOL-1582,8.0,73.0,0
198,SOL-1581,13.0,91.0,0
199,SOL-1580,20.0,91.0,0
200,SOL-1579,13.0,76.0,8
201,SOL-1575,13.0,94.0,4
202,SOL-1565,8.0,226.0,6
203,SOL-1561,13.0,27.0,7
204,SOL-1550,5.0,42.0,0
205,SOL-1549,8.0,65.0,0
206,SOL-1546,8.0,64.0,0
207,SOL-1545,8.0,56.0,0
208,SOL-1544,8.0,50.0,0
209,SOL-1543,21.0,94.0,0
210,SOL-1542,21.0,88.0,0
211,SOL-1539,8.0,74.0,0
212,SOL-1538,13.0,84.0,0
213,SOL-1516,13.0,87.0,0
214,SOL-1515,13.0,67.0,0
215,SOL-1514,5.0,27.0,7
216,SOL-1513,13.0,133.0,0
217,SOL-1507,5.0,203.0,3
218,SOL-1506,8.0,208.0,8
219,SOL-1505,3.0,194.0,1
220,SOL-1504,8.0,201.0,0
221,SOL-1503,8.0,208.0,1
222,SOL-1502,20.0,208.0,5
223,SOL-1501,8.0,207.0,0
224,SOL-1500,8.0,173.0,1
225,SOL-1499,13.0,188.0,1
226,SOL-1491,13.0,126.0,5
227,SOL-1490,13.0,156.0,6
228,SOL-1489,8.0,80.0,1
229,SOL-1488,8.0,106.0,5
230,SOL-1487,13.0,81.0,2
231,SOL-1486,8.0,80.0,2
232,SOL-1485,8.0,80.0,0
